datestamp,centre_name,value
2024-01-01,Bradford - Penistone Hill,7859
2024-01-02,Bradford - Penistone Hill,7847
2024-01-03,Bradford - Penistone Hill,7836
2024-01-04,Bradford - Penistone Hill,7825
2024-01-05,Bradford - Penistone Hill,7813
2024-01-06,Bradford - Penistone Hill,7802
2024-01-07,Bradford - Penistone Hill,7791
2024-01-08,Bradford - Penistone Hill,7779
2024-01-09,Bradford - Penistone Hill,7768
2024-01-10,Bradford - Penistone Hill,7757
2024-01-11,Bradford - Penistone Hill,7745
2024-01-12,Bradford - Penistone Hill,7734
2024-01-13,Bradford - Penistone Hill,7723
2024-01-14,Bradford - Penistone Hill,7711
2024-01-15,Bradford - Penistone Hill,7700
2024-01-16,Bradford - Penistone Hill,7688
2024-01-17,Bradford - Penistone Hill,7677
2024-01-18,Bradford - Penistone Hill,7666
2024-01-19,Bradford - Penistone Hill,7654
2024-01-20,Bradford - Penistone Hill,7643
2024-01-21,Bradford - Penistone Hill,7632
2024-01-22,Bradford - Penistone Hill,7620
2024-01-23,Bradford - Penistone Hill,7609
2024-01-24,Bradford - Penistone Hill,7598
2024-01-25,Bradford - Penistone Hill,7586
2024-01-26,Bradford - Penistone Hill,7575
2024-01-27,Bradford - Penistone Hill,7564
2024-01-28,Bradford - Penistone Hill,7552
2024-01-29,Bradford - Penistone Hill,7541
2024-01-30,Bradford - Penistone Hill,7530
2024-01-31,Bradford - Penistone Hill,7518
2024-02-01,Bradford - Penistone Hill,7507
2024-02-02,Bradford - Penistone Hill,7496
2024-02-03,Bradford - Penistone Hill,7484
2024-02-04,Bradford - Penistone Hill,7473
2024-02-05,Bradford - Penistone Hill,7462
2024-02-06,Bradford - Penistone Hill,7450
2024-02-07,Bradford - Penistone Hill,7439
2024-02-08,Bradford - Penistone Hill,7428
2024-02-09,Bradford - Penistone Hill,7416
2024-02-10,Bradford - Penistone Hill,7405
2024-02-11,Bradford - Penistone Hill,7394
2024-02-12,Bradford - Penistone Hill,7382
2024-02-13,Bradford - Penistone Hill,7371
2024-02-14,Bradford - Penistone Hill,7359
2024-02-15,Bradford - Penistone Hill,7348
2024-02-16,Bradford - Penistone Hill,7337
2024-02-17,Bradford - Penistone Hill,7325
2024-02-18,Bradford - Penistone Hill,7314
2024-02-19,Bradford - Penistone Hill,7303
2024-02-20,Bradford - Penistone Hill,7291
2024-02-21,Bradford - Penistone Hill,7280
2024-02-22,Bradford - Penistone Hill,7269
2024-02-23,Bradford - Penistone Hill,7257
2024-02-24,Bradford - Penistone Hill,7246
2024-02-25,Bradford - Penistone Hill,7235
2024-02-26,Bradford - Penistone Hill,7223
2024-02-27,Bradford - Penistone Hill,7212
2024-02-28,Bradford - Penistone Hill,7201
2024-02-29,Bradford - Penistone Hill,7189
2024-03-01,Bradford - Penistone Hill,7178
2024-03-02,Bradford - Penistone Hill,7167
2024-03-03,Bradford - Penistone Hill,7155
2024-03-04,Bradford - Penistone Hill,7144
2024-03-05,Bradford - Penistone Hill,7133
2024-03-06,Bradford - Penistone Hill,7121
2024-03-07,Bradford - Penistone Hill,7110
2024-03-09,Bradford - Penistone Hill,7087
2024-03-10,Bradford - Penistone Hill,7076
2024-03-11,Bradford - Penistone Hill,7065
2024-03-12,Bradford - Penistone Hill,7053
2024-03-13,Bradford - Penistone Hill,7042
2024-03-14,Bradford - Penistone Hill,7031
2024-03-15,Bradford - Penistone Hill,7019
2024-03-16,Bradford - Penistone Hill,7008
2024-03-17,Bradford - Penistone Hill,6996
2024-03-18,Bradford - Penistone Hill,6985
2024-03-19,Bradford - Penistone Hill,6974
2024-03-20,Bradford - Penistone Hill,6962
2024-03-21,Bradford - Penistone Hill,6951
2024-03-22,Bradford - Penistone Hill,6940
2024-03-23,Bradford - Penistone Hill,6928
2024-03-24,Bradford - Penistone Hill,6917
2024-03-25,Bradford - Penistone Hill,6906
2024-03-26,Bradford - Penistone Hill,6894
2024-03-27,Bradford - Penistone Hill,6883
2024-03-28,Bradford - Penistone Hill,6872
2024-03-29,Bradford - Penistone Hill,6860
2024-03-30,Bradford - Penistone Hill,6849
2024-03-31,Bradford - Penistone Hill,6838
2024-04-01,Bradford - Penistone Hill,6826
2024-04-02,Bradford - Penistone Hill,6815
2024-04-03,Bradford - Penistone Hill,6804
2024-04-04,Bradford - Penistone Hill,6792
2024-04-05,Bradford - Penistone Hill,6781
2024-04-06,Bradford - Penistone Hill,6770
2024-04-07,Bradford - Penistone Hill,6758
2024-04-08,Bradford - Penistone Hill,6747
2024-04-09,Bradford - Penistone Hill,6736
2024-04-10,Bradford - Penistone Hill,6724
2024-04-11,Bradford - Penistone Hill,6713
2024-04-12,Bradford - Penistone Hill,6702
2024-04-13,Bradford - Penistone Hill,6690
2024-04-14,Bradford - Penistone Hill,6679
2024-04-15,Bradford - Penistone Hill,6668
2024-04-16,Bradford - Penistone Hill,6656
2024-04-17,Bradford - Penistone Hill,6645
2024-04-18,Bradford - Penistone Hill,6633
2024-04-19,Bradford - Penistone Hill,6622
2024-04-20,Bradford - Penistone Hill,6611
2024-04-21,Bradford - Penistone Hill,6599
2024-04-22,Bradford - Penistone Hill,6588
2024-04-23,Bradford - Penistone Hill,6577
2024-04-24,Bradford - Penistone Hill,6565
2024-04-25,Bradford - Penistone Hill,6554
2024-04-26,Bradford - Penistone Hill,6543
2024-04-27,Bradford - Penistone Hill,6531
2024-04-28,Bradford - Penistone Hill,6520
2024-04-29,Bradford - Penistone Hill,5975
2024-04-30,Bradford - Penistone Hill,5912
2024-05-01,Bradford - Penistone Hill,5849
2024-05-02,Bradford - Penistone Hill,5785
2024-05-03,Bradford - Penistone Hill,5722
2024-05-04,Bradford - Penistone Hill,5659
2024-05-05,Bradford - Penistone Hill,5595
2024-05-06,Bradford - Penistone Hill,5598
2024-05-07,Bradford - Penistone Hill,5601
2024-05-08,Bradford - Penistone Hill,5603
2024-05-09,Bradford - Penistone Hill,5606
2024-05-10,Bradford - Penistone Hill,5609
2024-05-11,Bradford - Penistone Hill,5611
2024-05-12,Bradford - Penistone Hill,5614
2024-05-13,Bradford - Penistone Hill,5617
2024-05-14,Bradford - Penistone Hill,5620
2024-05-15,Bradford - Penistone Hill,5622
2024-05-16,Bradford - Penistone Hill,5625
2024-05-17,Bradford - Penistone Hill,5628
2024-05-18,Bradford - Penistone Hill,5630
2024-05-19,Bradford - Penistone Hill,5633
2024-05-20,Bradford - Penistone Hill,5636
2024-05-21,Bradford - Penistone Hill,5638
2024-05-22,Bradford - Penistone Hill,5641
2024-05-23,Bradford - Penistone Hill,5644
2024-05-24,Bradford - Penistone Hill,5646
2024-05-25,Bradford - Penistone Hill,5649
2024-05-26,Bradford - Penistone Hill,5652
2024-05-27,Bradford - Penistone Hill,5654
2024-05-28,Bradford - Penistone Hill,5657
2024-05-29,Bradford - Penistone Hill,5660
2024-05-30,Bradford - Penistone Hill,5662
2024-05-31,Bradford - Penistone Hill,5665
2024-06-01,Bradford - Penistone Hill,5668
2024-06-02,Bradford - Penistone Hill,5670
2024-06-03,Bradford - Penistone Hill,5656
2024-06-04,Bradford - Penistone Hill,5642
2024-06-05,Bradford - Penistone Hill,5628
2024-06-06,Bradford - Penistone Hill,5613
2024-06-07,Bradford - Penistone Hill,5599
2024-06-08,Bradford - Penistone Hill,5585
2024-06-09,Bradford - Penistone Hill,5571
2024-06-10,Bradford - Penistone Hill,5557
2024-06-11,Bradford - Penistone Hill,5542
2024-06-12,Bradford - Penistone Hill,5528
2024-06-13,Bradford - Penistone Hill,5514
2024-06-14,Bradford - Penistone Hill,5500
2024-06-15,Bradford - Penistone Hill,5486
2024-06-16,Bradford - Penistone Hill,5471
2025-01-03,Bradford - Penistone Hill,5268
2025-02-03,Bradford - Penistone Hill,4523
2025-03-03,Bradford - Penistone Hill,3887
2025-04-03,Bradford - Penistone Hill,4154
2025-05-03,Bradford - Penistone Hill,4754
2025-06-20,Bradford - Penistone Hill,
2025-06-21,Bradford - Penistone Hill,
