start,geography_type,geography_code,count_of_tickets
ALL,oslaua,E06000002,2
ALL,oslaua,E06000004,2
ALL,oslaua,E06000005,2
ALL,oslaua,E06000007,2
ALL,oslaua,E06000008,3
ALL,oslaua,E06000010,7
ALL,oslaua,E06000011,6
ALL,oslaua,E06000013,4
ALL,oslaua,E06000014,11
ALL,oslaua,E06000016,26
ALL,oslaua,E06000018,2
ALL,oslaua,E06000047,2
ALL,oslaua,E06000049,6
ALL,oslaua,E06000052,2
ALL,oslaua,E06000054,6
ALL,oslaua,E06000063,11
ALL,oslaua,E06000064,12
ALL,oslaua,E06000065,147
ALL,oslaua,E07000033,2
ALL,oslaua,E07000034,2
ALL,oslaua,E07000038,10
ALL,oslaua,E07000039,2
ALL,oslaua,E07000040,2
ALL,oslaua,E07000041,1
ALL,oslaua,E07000062,12
ALL,oslaua,E07000119,4
ALL,oslaua,E07000122,3
ALL,oslaua,E07000125,2
ALL,oslaua,E07000126,2
ALL,oslaua,E07000128,4
ALL,oslaua,E07000149,10
ALL,oslaua,E07000175,1
ALL,oslaua,E07000178,1
ALL,oslaua,E07000241,4
ALL,oslaua,E08000001,11
ALL,oslaua,E08000002,81
ALL,oslaua,E08000003,35
ALL,oslaua,E08000004,2
ALL,oslaua,E08000005,2
ALL,oslaua,E08000006,15
ALL,oslaua,E08000007,6
ALL,oslaua,E08000008,9
ALL,oslaua,E08000010,8
ALL,oslaua,E08000012,27
ALL,oslaua,E08000014,4
ALL,oslaua,E08000015,3
ALL,oslaua,E08000016,4
ALL,oslaua,E08000017,2
ALL,oslaua,E08000018,19
ALL,oslaua,E08000019,12
ALL,oslaua,E08000032,2211
ALL,oslaua,E08000033,189
ALL,oslaua,E08000034,209
ALL,oslaua,E08000035,453
ALL,oslaua,E08000036,24
ALL,oslaua,E08000037,1
ALL,oslaua,E09000004,7
ALL,oslaua,E09000006,1
ALL,oslaua,E09000008,1
ALL,oslaua,E09000009,2
ALL,oslaua,E09000012,15
ALL,oslaua,E09000020,2
ALL,oslaua,E09000021,4
ALL,oslaua,E09000023,1
ALL,oslaua,E09000027,1
ALL,oslaua,E09000030,2
ALL,oslaua,MISSING,2310
ALL,oslaua,S12000036,6
ALL,oslaua,S12000049,10
ALL,oslaua,UNMATCHED,13
ALL,osward,E05001341,100
ALL,osward,E05001342,167
ALL,osward,E05001343,75
ALL,osward,E05001344,37
ALL,osward,E05001345,37
ALL,osward,E05001346,10
ALL,osward,E05001347,181
ALL,osward,E05001348,29
ALL,osward,E05001349,28
ALL,osward,E05001350,41
ALL,osward,E05001351,49
ALL,osward,E05001352,159
ALL,osward,E05001353,53
ALL,osward,E05001354,130
ALL,osward,E05001355,10
ALL,osward,E05001356,65
ALL,osward,E05001357,30
ALL,osward,E05001358,27
ALL,osward,E05001359,8
