type,code,count
osward,E05001341,46
osward,E05001342,66
osward,E05001343,36
osward,E05001344,41
osward,E05001345,78
osward,E05001346,51
osward,E05001347,407
osward,E05001348,35
osward,E05001349,16
osward,E05001350,50
osward,E05001351,52
osward,E05001352,74
osward,E05001353,23
osward,E05001354,33
osward,E05001355,29
osward,E05001356,25
osward,E05001357,13
osward,E05001358,52
osward,E05001359,55
osward,E05001360,31
osward,E05001361,39
osward,E05001362,141
osward,E05001363,61
osward,E05001364,48
osward,E05001365,41
osward,E05001366,19
osward,E05001367,30
osward,E05001368,29
osward,E05001369,21
osward,E05001370,21
