geography_type,geography_code,value
oslaua,E06000001,23
oslaua,E06000002,30
oslaua,E06000003,45
oslaua,E06000004,91
oslaua,E06000005,71
oslaua,E06000006,30
oslaua,E06000007,74
oslaua,E06000008,101
oslaua,E06000009,34
oslaua,E06000010,458
oslaua,E06000011,643
oslaua,E06000012,77
oslaua,E06000013,183
oslaua,E06000014,1483
oslaua,E06000015,69
oslaua,E06000016,72
oslaua,E06000017,19
oslaua,E06000018,129
oslaua,E06000019,14
oslaua,E06000020,20
oslaua,E06000021,27
oslaua,E06000022,15
oslaua,E06000023,84
oslaua,E06000024,19
oslaua,E06000025,23
oslaua,E06000026,17
oslaua,E06000027,4
oslaua,E06000030,18
oslaua,E06000031,24
oslaua,E06000032,8
oslaua,E06000033,27
oslaua,E06000034,8
oslaua,E06000035,10
oslaua,E06000036,20
oslaua,E06000037,7
oslaua,E06000038,6
oslaua,E06000039,2
oslaua,E06000040,20
oslaua,E06000041,25
oslaua,E06000042,14
oslaua,E06000043,45
oslaua,E06000044,22
oslaua,E06000046,11
oslaua,E06000047,119
oslaua,E06000049,247
oslaua,E06000050,207
oslaua,E06000051,65
oslaua,E06000052,19
oslaua,E06000054,43
oslaua,E06000055,20
oslaua,E06000056,32
oslaua,E06000057,76
oslaua,E06000058,24
oslaua,E06000059,26
oslaua,E06000060,79
oslaua,E06000061,55
oslaua,E06000062,49
oslaua,E06000063,123
oslaua,E06000064,219
oslaua,E06000065,6222
oslaua,E06000066,51
oslaua,E07000008,60
oslaua,E07000009,25
oslaua,E07000010,3
oslaua,E07000011,48
oslaua,E07000012,31
oslaua,E07000032,67
oslaua,E07000033,29
oslaua,E07000034,65
oslaua,E07000035,91
oslaua,E07000036,16
oslaua,E07000037,125
oslaua,E07000038,106
oslaua,E07000039,51
oslaua,E07000040,10
oslaua,E07000041,21
oslaua,E07000042,9
oslaua,E07000043,4
oslaua,E07000044,3
oslaua,E07000045,2
oslaua,E07000061,2
oslaua,E07000062,31
oslaua,E07000063,2
oslaua,E07000064,6
oslaua,E07000065,18
oslaua,E07000066,2
oslaua,E07000067,10
oslaua,E07000068,6
oslaua,E07000070,18
oslaua,E07000071,34
oslaua,E07000072,38
oslaua,E07000073,2
oslaua,E07000074,5
oslaua,E07000075,2
oslaua,E07000076,13
oslaua,E07000077,16
oslaua,E07000078,33
oslaua,E07000079,7
oslaua,E07000080,2
oslaua,E07000081,14
oslaua,E07000082,16
oslaua,E07000083,7
oslaua,E07000084,10
oslaua,E07000085,35
oslaua,E07000086,6
oslaua,E07000087,4
oslaua,E07000088,4
oslaua,E07000089,6
oslaua,E07000090,6
oslaua,E07000091,7
oslaua,E07000092,3
oslaua,E07000093,8
oslaua,E07000094,12
oslaua,E07000095,1
oslaua,E07000096,20
oslaua,E07000099,35
oslaua,E07000102,8
oslaua,E07000103,3
oslaua,E07000105,10
oslaua,E07000106,44
oslaua,E07000107,2
oslaua,E07000108,11
oslaua,E07000109,4
oslaua,E07000110,18
oslaua,E07000111,19
oslaua,E07000112,6
oslaua,E07000113,6
oslaua,E07000114,7
oslaua,E07000115,9
oslaua,E07000116,18
oslaua,E07000117,91
oslaua,E07000118,104
oslaua,E07000119,41
oslaua,E07000120,77
oslaua,E07000121,155
oslaua,E07000122,365
oslaua,E07000123,75
oslaua,E07000124,210
oslaua,E07000125,100
oslaua,E07000126,86
oslaua,E07000127,55
oslaua,E07000128,52
oslaua,E07000129,10
oslaua,E07000130,67
oslaua,E07000131,41
oslaua,E07000132,53
oslaua,E07000133,6
oslaua,E07000134,8
oslaua,E07000135,6
oslaua,E07000136,4
oslaua,E07000137,32
oslaua,E07000138,32
oslaua,E07000139,46
oslaua,E07000140,20
oslaua,E07000141,30
oslaua,E07000142,48
oslaua,E07000143,10
oslaua,E07000144,8
oslaua,E07000145,6
oslaua,E07000146,7
oslaua,E07000147,6
oslaua,E07000148,30
oslaua,E07000149,22
oslaua,E07000170,23
oslaua,E07000171,90
oslaua,E07000172,38
oslaua,E07000173,48
oslaua,E07000174,17
oslaua,E07000175,74
oslaua,E07000176,66
oslaua,E07000177,25
oslaua,E07000178,35
oslaua,E07000179,38
oslaua,E07000180,35
oslaua,E07000181,14
oslaua,E07000192,2
oslaua,E07000193,26
oslaua,E07000194,14
oslaua,E07000195,13
oslaua,E07000196,15
oslaua,E07000197,33
oslaua,E07000198,29
oslaua,E07000199,3
