month,Events,Audience,Participants
2023-07-01,1,250,0
2023-11-01,2,32000,0
2024-01-01,3,0,27
2024-02-01,7,0,40
2024-03-01,3,0,79
2024-04-01,4,0,75
2024-05-01,73,68768,2056
2024-06-01,55,20833,283
2024-07-01,45,21083,222
2024-08-01,67,26102,388
2024-09-01,86,742849,1355
2024-10-01,45,0,902
2024-11-01,73,23990,324
2024-12-01,64,22436,238
2025-01-01,307,89342,5037
2025-02-01,538,294742,2240
2025-03-01,497,113306,3326
2025-04-01,783,465549,9730
2025-05-01,1165,237478,9349
2025-06-01,834,166952,7261
2025-07-01,681,186888,14272
2025-08-01,666,150886,11278
2025-09-01,734,145677,11668
2025-10-01,719,130255,5398
2025-11-01,848,237161,5011
2025-12-01,333,17462,4349
2026-01-01,68,6756,444
