aggregation,geography_code,variable,value
BY_LA,E06000001,tickets_sold,27
BY_LA,E06000002,tickets_sold,31
BY_LA,E06000003,tickets_sold,45
BY_LA,E06000004,tickets_sold,85
BY_LA,E06000005,tickets_sold,68
BY_LA,E06000006,tickets_sold,30
BY_LA,E06000007,tickets_sold,74
BY_LA,E06000008,tickets_sold,93
BY_LA,E06000009,tickets_sold,36
BY_LA,E06000010,tickets_sold,410
BY_LA,E06000011,tickets_sold,622
BY_LA,E06000012,tickets_sold,67
BY_LA,E06000013,tickets_sold,154
BY_LA,E06000014,tickets_sold,1399
BY_LA,E06000015,tickets_sold,71
BY_LA,E06000016,tickets_sold,70
BY_LA,E06000017,tickets_sold,20
BY_LA,E06000018,tickets_sold,125
BY_LA,E06000019,tickets_sold,14
BY_LA,E06000020,tickets_sold,20
BY_LA,E06000021,tickets_sold,27
BY_LA,E06000022,tickets_sold,15
BY_LA,E06000023,tickets_sold,88
BY_LA,E06000024,tickets_sold,19
BY_LA,E06000025,tickets_sold,23
BY_LA,E06000026,tickets_sold,17
BY_LA,E06000027,tickets_sold,4
BY_LA,E06000030,tickets_sold,21
BY_LA,E06000031,tickets_sold,10
BY_LA,E06000032,tickets_sold,6
BY_LA,E06000033,tickets_sold,21
BY_LA,E06000034,tickets_sold,8
BY_LA,E06000035,tickets_sold,11
BY_LA,E06000036,tickets_sold,20
BY_LA,E06000037,tickets_sold,9
BY_LA,E06000038,tickets_sold,6
BY_LA,E06000039,tickets_sold,2
BY_LA,E06000040,tickets_sold,18
BY_LA,E06000041,tickets_sold,47
BY_LA,E06000042,tickets_sold,21
BY_LA,E06000043,tickets_sold,47
BY_LA,E06000044,tickets_sold,22
BY_LA,E06000046,tickets_sold,11
BY_LA,E06000047,tickets_sold,111
BY_LA,E06000049,tickets_sold,246
BY_LA,E06000050,tickets_sold,184
BY_LA,E06000051,tickets_sold,71
BY_LA,E06000052,tickets_sold,19
BY_LA,E06000054,tickets_sold,43
BY_LA,E06000055,tickets_sold,27
BY_LA,E06000056,tickets_sold,32
BY_LA,E06000057,tickets_sold,70
BY_LA,E06000058,tickets_sold,24
BY_LA,E06000059,tickets_sold,25
BY_LA,E06000060,tickets_sold,70
BY_LA,E06000061,tickets_sold,51
BY_LA,E06000062,tickets_sold,49
BY_LA,E06000063,tickets_sold,112
BY_LA,E06000064,tickets_sold,233
BY_LA,E06000065,tickets_sold,6824
BY_LA,E06000066,tickets_sold,47
BY_LA,E07000008,tickets_sold,62
BY_LA,E07000009,tickets_sold,23
BY_LA,E07000010,tickets_sold,3
BY_LA,E07000011,tickets_sold,50
BY_LA,E07000012,tickets_sold,30
BY_LA,E07000032,tickets_sold,62
BY_LA,E07000033,tickets_sold,25
BY_LA,E07000034,tickets_sold,69
BY_LA,E07000035,tickets_sold,99
BY_LA,E07000036,tickets_sold,20
BY_LA,E07000037,tickets_sold,124
BY_LA,E07000038,tickets_sold,104
BY_LA,E07000039,tickets_sold,45
BY_LA,E07000040,tickets_sold,14
